state,Governor,Party
Alabama,Kay Ivey,Republican
Alaska,Mike Dunleavy,Republican
American Samoa,Lolo Matalasi Moliga,Democratic
Arizona,Doug Ducey,Republican
Arkansas,Asa Hutchinson,Republican
California,Gavin Newsom,Democratic
Colorado,Jared Polis,Democratic
Connecticut,Ned Lamont,Democratic
Delaware,John Carney,Democratic
Florida,Ron DeSantis,Republican
Georgia,Brian Kemp,Republican
Guam,Lou Leon Guerrero,Democratic
Hawaii,David Ige,Democratic
Idaho,Brad Little,Republican
Illinois,J. B. Pritzker,Democratic
Indiana,Eric Holcomb,Republican
Iowa,Kim Reynolds,Republican
Kansas,Laura Kelly,Democratic
Kentucky,Andy Beshear,Democratic
Louisiana,John Bel Edwards,Democratic
Maine,Janet Mills,Democratic
Maryland,Larry Hogan,Republican
Massachusetts,Charlie Baker,Republican
Michigan,Gretchen Whitmer,Democratic
Minnesota,Tim Walz,Democratic - Farmer - Labor
Mississippi,Tate Reeves,Republican
Missouri,Mike Parson,Republican
Montana,Steve Bullock,Democratic
Nebraska,Pete Ricketts,Republican
Nevada,Steve Sisolak,Democratic
New Hampshire,Chris Sununu,Republican
New Jersey,Phil Murphy,Democratic
New Mexico,Michelle Lujan Grisham,Democratic
New York,Andrew Cuomo,Democratic
North Carolina,Roy Cooper,Democratic
North Dakota,Doug Burgum,Republican
Northern Mariana Islands,Ralph Torres,Republican
Ohio,Mike DeWine,Republican
Oklahoma,Kevin Stitt,Republican
Oregon,Kate Brown,Democratic
Pennsylvania,Tom Wolf,Democratic
Puerto Rico,Wanda Vázquez Garced,New Progressive/Republican
Rhode Island,Gina Raimondo,Democratic
South Carolina,Henry McMaster,Republican
South Dakota,Kristi Noem,Republican
Tennessee,Bill Lee,Republican
Texas,Greg Abbott,Republican
U.S. Virgin Islands,Albert Bryan,Democratic
Utah,Gary Herbert,Republican
Vermont,Phil Scott,Republican
Virginia,Ralph Northam,Democratic
Washington,Jay Inslee,Democratic
West Virginia,Jim Justice,Republican
Wisconsin,Tony Evers,Democratic
Wyoming,Mark Gordon,Republican
Guam,Lou Leon Guerrero,Democratic
